Start Hour,Impressions
12 AM,313
1 AM,202
2 AM,131
3 AM,127
4 AM,137
5 AM,163
6 AM,246
7 AM,426
8 AM,492
9 AM,439
10 AM,556
11 AM,657
12 PM,593
1 PM,664
2 PM,811
3 PM,966
4 PM,827
5 PM,702
6 PM,847
7 PM,921
8 PM,816
9 PM,729
10 PM,411
11 PM,172
