Gender,Age Range,Impressions,Percent of known total
Male,18-24,124,2.19%
Male,25-34,311,5.49%
Male,35-44,429,7.58%
Male,45-54,458,8.09%
Male,55-64,463,8.18%
Male,65+,319,5.63%
Female,18-24,182,3.21%
Female,25-34,534,9.43%
Female,35-44,549,9.69%
Female,45-54,836,14.76%
Female,55-64,884,15.61%
Female,65+,574,10.14%
