Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,13.20%,13.20%,No data,No data,No data,No data,70.44%,70.44%,No data,No data
realtor.com,21.28%,21.28%,12.09%,12.09%,20.92%,20.92%,87.70%,87.70%,40.28%,40.28%
homes.com,13.41%,13.41%,12.08%,12.08%,16.11%,16.11%,82.85%,82.85%,52.64%,52.64%
lennar.com,11.96%,11.96%,11.59%,11.59%,17.02%,17.02%,86.11%,86.11%,71.77%,71.77%
newhomesource.com,< 10%,< 10%,12.36%,12.36%,14.01%,14.01%,78.55%,78.55%,45.65%,45.65%
movoto.com,17.44%,17.44%,12.24%,12.24%,20.84%,20.84%,79.24%,79.24%,35.20%,35.20%
kbhome.com,< 10%,< 10%,12.56%,12.56%,8.98%,8.98%,75.57%,75.57%,53.91%,53.91%
redfin.com,32.33%,32.33%,10.69%,10.69%,37.68%,37.68%,91.10%,91.10%,50.56%,50.56%
